City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,58.8,71,75,12.1,NZ,1680574068
1,cloquet,46.7216,-92.4594,32.38,90,100,12.66,US,1680573878
2,guder,8.9667,37.7667,59.4,83,97,1.88,ET,1680574068
3,stromness,58.965,-3.296,39.16,77,100,5.35,GB,1680574068
4,punta arenas,-53.15,-70.9167,41.11,75,40,4.61,CL,1680574069
5,road town,18.4167,-64.6167,77.09,75,0,17.02,VG,1680574069
6,albany,42.6001,-73.9662,54.01,62,100,4.99,US,1680574060
7,pangnirtung,66.1451,-65.7125,-1.93,67,23,7.45,CA,1680574069
8,bendigo,-36.7667,144.2833,75.63,45,63,5.61,AU,1680573824
9,itoman,26.1247,127.6694,74.17,64,75,18.41,JP,1680574068
10,hanzhong,33.0728,107.0303,52.09,69,99,0.76,CN,1680574069
11,belmonte,-15.8631,-38.8828,74.89,89,99,8.77,BR,1680574069
12,mataura,-46.1927,168.8643,58.48,50,49,4.45,NZ,1680574069
13,macduff,57.6701,-2.4969,38.25,80,80,14.25,GB,1680574070
14,butaritari,3.0707,172.7902,81.84,81,80,18.14,KI,1680574070
15,puerto baquerizo moreno,-0.9,-89.6,79.48,80,50,2.55,EC,1680574070
16,coquimbo,-29.9533,-71.3436,60.53,94,0,4.61,CL,1680574070
17,hermanus,-34.4187,19.2345,53.8,81,100,4.36,ZA,1680574071
18,kapaa,22.0752,-159.319,80.58,85,75,12.66,US,1680574071
19,rebrikha,53.0733,82.3408,29.17,72,31,5.91,RU,1680574071
20,atuona,-9.8,-139.0333,81.14,76,61,13.06,PF,1680574071
21,bathsheba,13.2167,-59.5167,79.41,73,75,16.11,BB,1680574071
22,alta floresta,-9.8756,-56.0861,69.8,98,60,2.04,BR,1680574071
23,san quintin,30.4833,-115.95,54.46,63,2,25.46,MX,1680574071
24,port elizabeth,-33.918,25.5701,64.09,83,67,1.99,ZA,1680574072
25,saskylakh,71.9167,114.0833,-7.46,95,98,13.42,RU,1680574072
26,pangody,65.85,74.4859,-1.46,82,45,16.44,RU,1680574072
27,ushuaia,-54.8,-68.3,44.26,87,20,10.36,AR,1680574072
28,rikitea,-23.1203,-134.9692,79.68,83,98,14.65,PF,1680574072
29,bida,9.0833,6.0167,81.66,48,100,1.79,NG,1680574073
30,chokurdakh,70.6333,147.9167,9.73,90,20,7.43,RU,1680574073
31,hauterive,46.0901,3.4459,38.16,96,7,3.96,FR,1680574073
32,pisco,-13.7,-76.2167,75.25,83,0,10.36,PE,1680574073
33,valley city,46.9233,-98.0032,21.72,100,100,11.5,US,1680573823
34,san patricio,28.017,-97.5169,78.75,79,100,17.16,US,1680574074
35,shingu,33.7333,135.9833,62.87,65,82,4.68,JP,1680574074
36,beringovskiy,63.05,179.3167,8.55,90,100,13.42,RU,1680574074
37,kavieng,-2.5744,150.7967,83.23,72,17,3.02,PG,1680574068
38,margate,51.3813,1.3862,43.9,67,12,4.0,GB,1680574074
39,lebu,-37.6167,-73.65,54.75,76,1,16.73,CL,1680574074
40,ketchikan,55.3422,-131.6461,43.27,56,0,5.75,US,1680574074
41,dunedin,-45.8742,170.5036,69.08,54,47,5.01,NZ,1680574074
42,mar del plata,-38.0023,-57.5575,61.09,88,31,0.0,AR,1680574075
43,akhmim,26.5622,31.745,67.86,12,100,0.54,EG,1680574075
44,qaanaaq,77.484,-69.3632,-10.46,62,0,6.73,GL,1680574075
45,tasiilaq,65.6145,-37.6368,24.96,90,100,0.16,GL,1680574075
46,jamestown,42.097,-79.2353,47.95,81,100,4.61,US,1680573861
47,palekh,56.8028,41.8572,40.15,93,100,5.14,RU,1680574075
48,kamarion,36.8,25.8167,57.74,73,50,7.36,GR,1680574076
49,sokoni,-6.4333,39.55,80.58,80,100,7.16,TZ,1680574076
50,berlevag,70.8578,29.0864,33.8,74,40,21.85,NO,1680574076
51,elizabeth city,36.2946,-76.2511,64.42,78,0,5.75,US,1680574076
52,acarau,-2.8856,-40.12,76.12,86,99,0.25,BR,1680574076
53,dapaong,10.8639,0.205,90.18,24,100,3.83,TG,1680574077
54,ambon,-3.6954,128.1814,87.24,10,40,3.44,ID,1680574077
55,kruisfontein,-34.0033,24.7314,61.88,84,75,8.99,ZA,1680574077
56,ishigaki,24.3448,124.1572,72.84,64,71,19.71,JP,1680574077
57,new norfolk,-42.7826,147.0587,67.91,49,24,4.0,AU,1680574077
58,bethel,41.3712,-73.414,48.85,74,0,1.01,US,1680574077
59,cidreira,-30.1811,-50.2056,71.92,79,18,13.71,BR,1680574078
60,filotion,37.05,25.5,55.54,80,94,5.01,GR,1680574078
61,poum,-20.2333,164.0167,82.09,80,79,17.58,NC,1680574078
62,verkhnevilyuysk,63.4453,120.3167,24.35,91,100,6.85,RU,1680574078
63,bilibino,68.0546,166.4372,-0.33,67,100,3.58,RU,1680574078
64,ossora,59.2353,163.0719,23.38,74,73,7.2,RU,1680574078
65,metro,-5.1131,105.3067,81.3,75,34,2.82,ID,1680574078
66,te anau,-45.4167,167.7167,64.76,48,25,2.3,NZ,1680574078
67,puerto ayora,-0.7393,-90.3518,80.55,93,19,4.0,EC,1680574079
68,busselton,-33.65,115.3333,68.31,53,38,9.84,AU,1680574079
69,wormeldange,49.6083,6.4058,35.11,74,0,10.36,LU,1680574079
70,lukovetskiy,64.2956,41.9211,17.04,95,99,5.5,RU,1680574079
71,tuktoyaktuk,69.4541,-133.0374,-2.42,98,34,6.58,CA,1680574079
72,teya,60.3778,92.6267,22.03,88,99,10.07,RU,1680574079
73,lata,40.1629,-8.3327,54.07,94,100,3.2,PT,1680574079
74,chuy,-33.6971,-53.4616,62.76,84,100,3.47,UY,1680574080
75,saint-augustin,51.226,-58.6502,29.01,80,61,4.56,CA,1680574080
76,carnarvon,-24.8667,113.6333,76.3,69,55,12.39,AU,1680574080
